match_id,frame_id,team_id,player_id,label,attack_direction,visible_teammates,x,y,dist_left_sideline,dist_right_sideline,dist_own_goal,dist_opponent_goal,team_centroid_x,team_centroid_y,dx_centroid,dy_centroid,rank_x_team,rank_y_team,vx,vy
B1606b0e6_1_(61),16,Equipo 1,3,MD,1,9,0.38498857617378235,0.47144973278045654,0.47144973278045654,0.5285502672195435,0.38498857617378235,0.6150114238262177,0.38272300362586975,0.3684074878692627,0.0022655725479125977,0.10304224491119385,7.0,7.0,-0.001050553284585476,-0.0008644215995445848
B1606b0e6_1_(61),16,Equipo 1,6,ED,1,9,0.37580955028533936,0.6743993759155273,0.6743993759155273,0.32560062408447266,0.37580955028533936,0.6241904497146606,0.38374292850494385,0.34585753083229065,-0.007933378219604492,0.3285418450832367,6.0,10.0,-0.00071874656714499,-0.0019314149394631386
B1606b0e6_1_(61),16,Equipo 1,9,LD,1,9,0.2691468298435211,0.6145490407943726,0.6145490407943726,0.38545095920562744,0.2691468298435211,0.7308531701564789,0.3955943286418915,0.3525075614452362,-0.12644749879837036,0.26204147934913635,1.0,9.0,0.000361496553523466,-0.0025716107338666916
B1606b0e6_1_(61),16,Equipo 1,12,MC,1,9,0.35329699516296387,0.30369067192077637,0.30369067192077637,0.6963093280792236,0.35329699516296387,0.6467030048370361,0.3862442970275879,0.3870473802089691,-0.03294730186462402,-0.08335670828819275,5.0,5.0,-0.0014934539794921875,-0.003048700513318181
B1606b0e6_1_(61),16,Equipo 1,13,EI,1,9,0.5080455541610718,0.21192631125450134,0.21192631125450134,0.7880736887454987,0.5080455541610718,0.4919544458389282,0.3690500259399414,0.3972434103488922,0.13899552822113037,-0.18531709909439087,9.0,3.0,-0.0008729539113119245,-0.00020906503777951002
B1606b0e6_1_(61),16,Equipo 1,14,DFC_IZQ,1,9,0.29704272747039795,0.26030945777893066,0.26030945777893066,0.7396905422210693,0.29704272747039795,0.702957272529602,0.392494797706604,0.3918675184249878,-0.09545207023620605,-0.13155806064605713,3.0,4.0,-0.0023912033066153526,-0.0006204212550073862
B1606b0e6_1_(61),16,Equipo 1,15,DFC_DER,1,9,0.2759351134300232,0.4743748903274536,0.4743748903274536,0.5256251096725464,0.2759351134300232,0.7240648865699768,0.3948400914669037,0.3680824637413025,-0.1189049780368805,0.10629242658615112,2.0,8.0,-0.0004534091567620635,-0.0014078477397561073
B1606b0e6_1_(61),16,Equipo 1,19,LI,1,9,0.33393871784210205,0.19425563514232635,0.19425563514232635,0.8057443648576736,0.33393871784210205,0.666061282157898,0.388395220041275,0.39920681715011597,-0.054456502199172974,-0.2049511820077896,4.0,2.0,-0.00207965774461627,0.00029178225668147206
B1606b0e6_1_(61),16,Equipo 1,20,DC,1,9,0.6384695768356323,0.43587860465049744,0.43587860465049744,0.5641213953495026,0.6384695768356323,0.3615304231643677,0.35455846786499023,0.37235984206199646,0.2839111089706421,0.06351876258850098,10.0,6.0,-0.000454236869700253,-0.0001650417543714866
B1606b0e6_1_(61),16,Equipo 1,22,MI,1,9,0.392822265625,0.14628341794013977,0.14628341794013977,0.8537165820598602,0.392822265625,0.607177734375,0.3818526268005371,0.4045370817184448,0.01096963882446289,-0.25825366377830505,8.0,1.0,0.0,0.0
